key,mode,arch,n_folds,src_auc,src_pauc,tgt_auc,tgt_pauc,ovr_auc,ovr_pauc,mean6_auc,hmean,fold_tgt_auc_std,fold_src_auc_std,fold_hmean_std,mean_best_val_loss,std_best_val_loss,best_fold,src_tgt_gap
contrastive_ae,contrastive,ae,3,0.6217777777777778,0.5305263157894737,0.5502666666666667,0.5150877192982456,0.5869333333333333,0.5232163742690058,0.5755333333333333,0.5612636622248839,0.019415197757891973,0.01695722367730785,0.011043232809149425,0.051428312792133474,0.0017557760477263213,2,0.07151111111111108
contrastive_mobilenet,contrastive,mobilenet,3,0.607688888888889,0.5162573099415204,0.6425777777777777,0.5101754385964912,0.6258888888888888,0.5148538011695907,0.6025333333333334,0.569042011359295,0.009486040570567233,0.004272578209253009,0.006127717577241005,0.058073622146351755,0.0009200711192026614,2,-0.03488888888888875
contrastive_unet,contrastive,unet,3,0.5752444444444444,0.5057309941520468,0.5534222222222223,0.49543859649122807,0.5638777777777778,0.5029824561403509,0.5642666666666667,0.5497031633559081,0.014631712931834578,0.0039574693664017335,0.00788230645429908,0.0010617548825372638,8.944128417221068e-05,0,0.021822222222222187
domain_regularized_ae,domain_regularized,ae,3,0.5971555555555554,0.527719298245614,0.533511111111111,0.512748538011696,0.5662333333333333,0.5198830409356725,0.5503333333333335,0.5449487753373748,0.010909961972124255,0.009135997328585886,0.0075452535367666156,0.051838318385242825,0.0012035149015362056,0,0.06364444444444439
domain_regularized_mobilenet,domain_regularized,mobilenet,3,0.6099111111111112,0.5185964912280702,0.6485333333333333,0.5202339181286549,0.6292222222222221,0.5206432748538011,0.6079333333333333,0.5739739079023743,0.006870081854778574,0.01090259656214892,0.011361155617238682,0.05941000025412629,0.0007180601680127864,0,-0.03862222222222211
domain_regularized_unet,domain_regularized,unet,3,0.5883555555555555,0.5057309941520468,0.5912444444444445,0.5181286549707602,0.5892333333333334,0.5102923976608187,0.5864000000000001,0.5584833359797263,0.011523450176837374,0.01411165353288192,0.006516875231290541,0.0006121835140664558,0.00012777707063851143,0,-0.002888888888888941
mixed_ae,mixed,ae,3,0.6146222222222222,0.5174269005847953,0.5546222222222222,0.5270175438596492,0.5853,0.522046783625731,0.5762666666666667,0.5641025457814823,0.006442281459064382,0.005144475108566585,0.0036399994583274473,0.05171254158700831,0.001041493503930166,0,0.05999999999999994
mixed_mobilenet,mixed,mobilenet,3,0.6310666666666667,0.5209356725146199,0.6707111111111111,0.5242105263157895,0.6512222222222223,0.5213450292397661,0.6308666666666666,0.5904147143605212,0.008751456081081296,0.01423059938469691,0.004056710231043333,0.057094089189473056,0.0008115048930928239,1,-0.03964444444444448
mixed_unet,mixed,unet,3,0.5992888888888889,0.5076023391812865,0.6126666666666666,0.5101754385964912,0.6051222222222221,0.508187134502924,0.6027999999999999,0.5690218283287607,0.00343633453868048,0.01408027933380478,0.002579838901415217,0.00040901520135101294,4.637862184021126e-05,2,-0.01337777777777771
